x	f(x)	gradient

0.0 0.0 0
0.0009999999994444444 -7.0179969959900035 -18.0
0.0019999916126108358 -7.035987817128046 -17.99398800000335
0.0029999692211085437 -7.053972338537295 -17.98795205072693
0.003999927201583533 -7.071950435389627 -17.981892186889418
0.004999859938164666 -7.089921983130777 -17.975808443779083
0.005999761834708561 -7.107886857701418 -17.969700857178196
0.006999627326750165 -7.125844935752483 -17.96356946328687
0.007999450893071244 -7.1437960948531956 -17.95741429864694
0.00899922706680524 -7.161740213690321 -17.951235400066484
0.009998950446004235 -7.179677172257344 -17.94503280454557
0.010998615703601996 -7.197606852032395 -17.938806549203715
0.011998217596715955 -7.215529136143928 -17.932556671209642
0.012997750975240379 -7.2334439095233165 -17.926283207713727
0.013997210789692687 -7.251351059043711 -17.919986195783586
0.014996592098284647 -7.269250473644681 -17.91366567234315
0.01599589007319988 -7.287142044442349 -17.907321674115543
0.01699510000606854 -7.305025664824866 -17.900954237569994
0.017994217312639074 -7.322901230533287 -17.894563398872993
0.01899323753665528 -7.340768639727989 -17.88814919384383
0.019992156352954826 -7.3586277930410064 -17.881711657914583
0.020990969569812286 -7.376478593614668 -17.87525082609458
0.021989673130555908 -7.394320947127149 -17.868766732939356
0.022988263114492747 -7.4121547618055414 -17.862259412524
0.0239867357371811 -7.429979948427206 -17.85572889842079
0.024985087350092795 -7.4477964203101665 -17.84917522368101
0.025983314439710553 -7.465604093293392 -17.842598420820742
0.026981413626107478 -7.483402885707843 -17.835998521810463
0.02797938166105681 -7.501192718339146 -17.829375558068197
0.02897721542572052 -7.518973514382795 -17.82272956045604
0.02997491192796489 -7.536745199392754 -17.816060559279734
0.030972468299350624 -7.554507701224329 -17.80936858429114
0.03196988179184341 -7.572260949972151 -17.802653664693246
0.03296714977428931 -7.59000487790404 -17.795915829147525
0.03396426972869719 -7.60773941939157 -17.78915510578338
0.034961239246367966 -7.625464510838003 -17.782371522209374
0.03595805602390794 -7.643180090604282 -17.77556510552609
0.03695471785916073 -7.660886098933714 -17.76873588234033
0.037951222647089514 -7.67858247787589 -17.761883878780434
0.038947568375638494 -7.6962691712103855 -17.755009120512554
0.0399437531215995 -7.713946124370668 -17.74811163275767
0.040939775046507136 -7.731613284368682 -17.74119144030913
0.04193563239258291 -7.7492705997204085 -17.734248567550654
0.0429313234787463 -7.766918020372777 -17.72728303847451
0.043926846696708294 -7.784555497632167 -17.72029487669988
0.04492220050716044 -7.80218298409474 -17.713284105491155
0.045917383436070464 -7.819800433578796 -17.70625074777617
0.0469123940710933 -7.837407801059301 -17.699194826164195
0.04790723105810472 -7.85500504260472 -17.692116362963663
0.04890189309786283 -7.872592115316229 -17.685015380199516
0.04989637894280143 -7.890168977269387 -17.677891899630165
0.05089068739395757 -7.907735587458294 -17.670745942763947
0.051884817298034694 -7.925291905742257 -17.663577530875102
0.052878767544601496 -7.942837892794965 -17.656386685019186
0.053872537063425756 -7.960373510056146 -17.64917342604796
0.054866124821941545 -7.977898719685687 -17.641937774623642
0.05585952982284761 -7.995413484520145 -17.63467975123263
0.05685275110183401 -8.012917768031633 -17.62739937619856
0.0578457877254338 -8.030411534288977 -17.62009666969483
0.058838638788995805 -8.047894747921102 -17.612771651756486
0.059831303414774765 -8.065367374082552 -17.60542434229152
0.0608237807501343 -8.08282937842107 -17.59805476109162
0.06181606996585841 -8.100280727047172 -17.59066292784231
0.06280817025456684 -8.117721386505595 -17.583248862132564
0.06380008082922983 -8.135151323748557 -17.57581258346388
0.06479180092177743 -8.152570506110749 -17.568354111258827
0.06578332978179882 -8.16997890128595 -17.56087346486909
0.06677466667532717 -8.187376477305198 -17.553370663583035
0.0677658108837053 -8.204763202516432 -17.545845726632823
0.06875676170252794 -8.222139045565513 -17.538298673201055
0.06974751844065617 -8.239503975378563 -17.530729522427013
0.07073808041929998 -8.256857961145535 -17.523138293412508
0.07172844697116476 -8.274200972304932 -17.51552500522731
0.07271861743965816 -8.291532978529622 -17.507889676914267
0.07370859117815325 -8.308853949713678 -17.500232327494025
0.0746983675493047 -8.326163855960164 -17.492552975969463
0.07568794592441448 -8.34346266756982 -17.4848516413298
0.07667732568284387 -8.36075035503058 -17.47712834255443
0.07766650621146876 -8.378026889007877 -17.46938309861646
